cali8b_after_180_150_1.ptu	 	 	cali8b_after_3.ptu	 	 	cali8b_after_2.ptu	 	 	cali8b_after_1.ptu	 	 	calib_12.3uW_7.ptu	 	 	calib_12.3uW_6.ptu	 	 	calib_12.3uW_5.ptu	 	 	calib_12.3uW_4.ptu	 	 	calib_12.3uW_3.ptu	 	 	calib_12.3uW_2.ptu	 	 	calib_12.3uW_1.ptu	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.0073499412004704	2.79703259743282	0.0133944510498104	0.00734988240188157	2.76253960568167	0.00799239692637053	0.00734988240188157	2.79379802574993	0.0152439686485019	0.00734988240188157	2.83421188681449	0.0148548366607815	0.00734988240188157	3.47119395269025	0.00780229387082356	0.0073499412004704	3.42484005261025	0.00807646685403762	0.0073499412004704	3.4665828545372	0.025981000726181	0.0073499412004704	3.45646747130095	0.00868324969532532	0.00734988240188157	3.50295798645614	0.0143368571828561	0.00734988240188157	3.49427773756423	0.012086147772628	0.0073499412004704	4.03233422536344	0.0224445145682332
0.00854993160054719	2.70423300733562	0.00578670584777782	0.00854986320218877	2.65416533771551	0.014604959262188	0.00854986320218877	2.63708879598506	0.00751778567882213	0.00854986320218877	2.74993217043079	0.0173636498322779	0.00854986320218877	3.26799408773872	0.0217506861615538	0.00854993160054719	3.2914493834493	0.0200030681635153	0.00854993160054719	3.35340584339849	0.00949917616310316	0.00854993160054719	3.33349482489518	0.0146430831498056	0.00854986320218877	3.35441487732686	0.0116291938264285	0.00854986320218877	3.38300030749512	0.0193965725880383	0.00854993160054719	3.90272324846612	0.0317620438218961
0.0101499188006496	2.57770959536938	0.00768371451261047	0.0101498376025984	2.51206692739344	0.00591266987382334	0.0101498376025984	2.48722762380132	0.0144468524901464	0.0101498376025984	2.61294211247166	0.0128429867888527	0.0101498376025984	3.1142734171575	0.0137268458374645	0.0101499188006496	3.15529827326091	0.0141635061760732	0.0101499188006496	3.18160043443808	0.0112995374359201	0.0101499188006496	3.17419150528003	0.0149480753478546	0.0101498376025984	3.18696447827786	0.011338156379736	0.0101498376025984	3.19663150776124	0.0194954060033929	0.0101499188006496	3.73930838434252	0.0194220027379408
0.011749906000752	2.44846213576649	0.00738453883493655	0.011749812003008	2.38824853212997	0.00872769521259207	0.011749812003008	2.38290460551576	0.0111399188824489	0.011749812003008	2.48940202458512	0.00991942580324332	0.011749812003008	2.94303146462753	0.0164381522118459	0.011749906000752	2.98613486235342	0.0134529786961308	0.011749906000752	3.05743593714498	0.0189481839692188	0.011749906000752	2.99437888609529	0.0207692898418926	0.011749812003008	3.03004136087925	0.0111861380786637	0.011749812003008	3.03963146315706	0.0127774989382471	0.011749906000752	3.52800300627003	0.0225470970387416
0.0133498932008544	2.32440723459093	0.00899878431652561	0.0133497864034175	2.29289482056506	0.0100041814034705	0.0133497864034175	2.25762843638945	0.0141918334933326	0.0133497864034175	2.3776827902481	0.014945090087049	0.0133497864034175	2.8320509150094	0.0157856326760815	0.0133498932008544	2.83133199193943	0.00847759412094022	0.0133498932008544	2.90246751083604	0.0127001343687688	0.0133498932008544	2.84374950620962	0.0182038196183819	0.0133497864034175	2.86823648288816	0.0162189131716706	0.0133497864034175	2.91923475847627	0.00457406252273299	0.0133498932008544	3.38201534126625	0.0211959006864639
0.0149498804009568	2.22939261228976	0.00526791012621906	0.0149497608038271	2.20051092208152	0.00390624216657144	0.0149497608038271	2.1626556196929	0.00960778747990823	0.0149497608038271	2.26127699991762	0.013920417151619	0.0149497608038271	2.72725620686095	0.0131583713230097	0.0149498804009568	2.7036021772463	0.0139251477214659	0.0149498804009568	2.77963227166474	0.00678133430079171	0.0149498804009568	2.73109140943388	0.0157484741261333	0.0149497608038271	2.77103099278107	0.00729743939084786	0.0149497608038271	2.76334894420818	0.0231568172731202	0.0149498804009568	3.22899902295537	0.0103202635692453
0.0173498612011104	2.09521925302796	0.00839845258706267	0.0173497224044415	2.06644086883706	0.00503904801958343	0.0173497224044415	2.05819442244774	0.00651753784392391	0.0173497224044415	2.12562047694029	0.00707612265171734	0.0173497224044415	2.54434885116293	0.00672448035899939	0.0173498612011104	2.54424074433483	0.00883447354739878	0.0173498612011104	2.58311700562086	0.0168449340640863	0.0173498612011104	2.56798053896993	0.0156709096010803	0.0173497224044415	2.56975446669277	0.0114550320570493	0.0173497224044415	2.59626907226989	0.0127757526826547	0.0173498612011104	3.02882883204099	0.00995713379583458
0.0205498356013152	1.92305884375171	0.00501820248219755	0.0205496712052607	1.924446046041	0.00572897843485643	0.0205496712052607	1.87456978567566	0.00906583338812364	0.0205496712052607	1.95233859911094	0.00484539669322128	0.0205496712052607	2.33920938420251	0.0105959617842394	0.0205498356013152	2.35547907100815	0.00789478914460965	0.0205498356013152	2.39156870276242	0.00406144912418132	0.0205498356013152	2.35150565930679	0.0134307746214486	0.0205496712052607	2.39378713978557	0.00770833556148456	0.0205496712052607	2.42414042693204	0.0140682028323153	0.0205498356013152	2.81259987947489	0.0114939763373019
0.02374981000152	1.78017826585192	0.00539617317307607	0.0237496200060799	1.77729648360606	0.00678214275695835	0.0237496200060799	1.73755105723246	0.00812144906732469	0.0237496200060799	1.82549454069699	0.0124925531505584	0.0237496200060799	2.14583819991685	0.0106972793874704	0.02374981000152	2.18726777824975	0.0141276026557239	0.02374981000152	2.20141527741264	0.0103655513412398	0.02374981000152	2.20389571249014	0.0123781221152939	0.0237496200060799	2.21414055648894	0.00643100937585673	0.0237496200060799	2.22522470317922	0.0119801132591126	0.02374981000152	2.58809982659053	0.0107669622448406
0.0269497844017248	1.65628928490391	0.0112297845082451	0.0269495688068991	1.65230899627791	0.0114523083653069	0.0269495688068991	1.63255402404442	0.00846677652159783	0.0269495688068991	1.68600316478722	0.00933771272878081	0.0269495688068991	2.01570149114336	0.00736046477476444	0.0269497844017248	2.04367055061457	0.00807919707596647	0.0269497844017248	2.05879269621013	0.00629382204998789	0.0269497844017248	2.05051916908853	0.014481350255871	0.0269495688068991	2.07380310774699	0.0123136868753074	0.0269495688068991	2.07885554648869	0.00937338901361338	0.0269497844017248	2.42175952058705	0.0185908417862185
0.0301497588019296	1.55213071851026	0.00685330725243161	0.0301495176077183	1.55733004918253	0.00736951510091628	0.0301495176077183	1.52287594135691	0.00442123563250967	0.0301495176077183	1.57734078738453	0.00740908851036388	0.0301495176077183	1.89348517312667	0.00829224533100212	0.0301497588019296	1.90773917644576	0.00661474339008708	0.0301497588019296	1.92015034172779	0.0111166350479504	0.0301497588019296	1.92446312025741	0.0139789144313331	0.0301495176077183	1.93739329640249	0.0116582060841874	0.0301495176077183	1.96424221232729	0.0175342955798305	0.0301497588019296	2.27670993000572	0.0146616955835803
0.0349497204022368	1.41447467431175	0.00508734000940104	0.0349494408089471	1.40942396570375	0.00577701263160342	0.0349494408089471	1.39251116806874	0.00867760612586814	0.0349494408089471	1.45185713274165	0.00597883760672157	0.0349494408089471	1.73805173160265	0.00707960896328639	0.0349497204022368	1.72735676293618	0.012708526744326	0.0349497204022368	1.75959132866678	0.0079909544490055	0.0349497204022368	1.75955846451002	0.00946199092075535	0.0349494408089471	1.77199352113646	0.0091779236758944	0.0349494408089471	1.76529777166103	0.00559222225042129	0.0349497204022368	2.06947721354092	0.00825137046272241
0.0413496692026464	1.25860071566024	0.0105222179960716	0.0413493384105854	1.26888478717389	0.00603524521040185	0.0413493384105854	1.25204317442259	0.0062426655658153	0.0413493384105854	1.30393644185818	0.0056097340930899	0.0413493384105854	1.54876553113034	0.00610562585487815	0.0413496692026464	1.56131469914885	0.00715025428122227	0.0413496692026464	1.57018534300892	0.00784494291966425	0.0413496692026464	1.5745094007122	0.00852261705633919	0.0413493384105854	1.56782784027561	0.00798612050662772	0.0413493384105854	1.58311300583002	0.00816225511186875	0.0413496692026464	1.85931712995698	0.00726555844444447
0.047749618003056	1.14169837660576	0.00439334172174582	0.0477492360122238	1.13237616906127	0.00833068151152731	0.0477492360122238	1.12560886166454	0.00456348979664901	0.0477492360122238	1.18062082808215	0.00695693343934902	0.0477492360122238	1.39031707451708	0.00854771674967516	0.047749618003056	1.40757370052814	0.00770749599005911	0.047749618003056	1.41743102237791	0.00842278868555044	0.047749618003056	1.42001315903427	0.00269293908264217	0.0477492360122238	1.42546718697336	0.00886089961213707	0.0477492360122238	1.42862053117321	0.0083333116946552	0.047749618003056	1.66354985395	0.00974630074008471
